1stEntity	2ndEntity	Relation	Sentence	False_Positive(x)_Checked_by_3_Annotators
paris	france	/location/administrative_division/country	the 2007 michelin red guides for france and for paris go on sale today .	
israel	east_jerusalem	/location/country/capital	hana el sahly houston , june 5 , 2007 to the editor : tom segev argues that , although '' some kind of retaliation '' by israel against jordan 's june 1967 attack was justified , it should have stopped short of taking east_jerusalem and the west bank .	x
preston_hollow	dallas	/location/neighborhood/neighborhood_of	lot size : 0.21 acre date built : 2006 this new home inside the dallas beltway is located in preston_hollow , a small oasis in an otherwise busy urban area near the love field airport .	
dreamworks	steven_spielberg	/business/company/founders	identity crisis for dreamworks -- on paper , 2007 is shaping up to be a promising year for dreamworks , the 12-year-old studio co-founded by the director steven_spielberg .	
malaysia	kuala_lumpur	/location/location/contains	-lrb- dargis -rrb- ` i do n't want to sleep alone ' -lrb- no rating , 115 minutes , in taiwanese , malay , mandarin and bengali -rrb- a dreamy , melancholy tale of three-way desire , shot in kuala_lumpur , malaysia , and imagined by the director tsai ming-liang with his usual blend of sensuality and formal rigor .	
mexico_city	mexico	/location/administrative_division/country	recently , though , they bought two historic houses they intend to weave together in downtown san miguel de allende , mexico , a carefully preserved colonial town in the mountains north of mexico_city . ''	
jacques_chirac	france	/people/person/nationality	critics have accused president jacques_chirac of using the country 's museums to promote france 's political and commercial interests abroad . ''	
israel	west_bank	/location/location/contains	however , israel has maintained tight restrictions on both places , and the last west_bank suicide bomber to strike in israel was in april 2006 .	
havana	cuba	/location/administrative_division/country	business day , page c1 castro missing on may day the throngs were out in the streets of havana as they always are on may day , but cuba 's holiday honoring workers came and went without fidel castro .	
benita_johnson	australia	/people/person/nationality	the new york road runners also announced yesterday that the field would include such world-class runners as catherine ndereba of kenya , benita_johnson of australia , mara yamauchi of britain and nina rillstone of new zealand .	
george_allen	virginia	/people/person/place_lived	the 38th president correction : january 10 , 2007 , wednesday an article last wednesday about prominent people who attended the funeral of former president gerald r. ford referred incorrectly to george_allen , republican of virginia .	
canada	toronto	/location/location/contains	howard d. greenberg , an immigration lawyer in toronto , said canada 's experience showed the risks of relying too heavily on a point system . ''	
israel	west_bank	/location/location/contains	returning to israel for the first time in 10 years mr. rollins gets a personalized tour from ziv korren , a photojournalist , with stops at the western wall , the church of the holy sepulcher and the west_bank security wall , punctuated of course by mr. rollins 's commentary on pop culture , world events and the resilience of the israeli people .	
syria	damascus	/location/country/administrative_divisions	mr. suleiman , who is also known as abe , emphasized that he did not '' speak for syria in any way , shape or form , '' but said his friends in damascus included '' high officials . ''	x
israel	jerusalem	/location/location/contains	page a12 teddy kollek is dead the mayor of jerusalem from 1965 to 1993 , who worked to develop the city as israel 's capital and unite its two halves , he was 95 .	
germany	berlin	/location/country/administrative_divisions	germany 's culture minister , bernd neumann , has rejected a campaign from a hamburg-based lobbying group to send the famous 14th-century b.c. painted limestone bust of nefertiti from the altes museum in berlin to egypt on loan , bloomberg news reported . ''	x
california	san_francisco	/location/location/contains	mr. rangel is , by most measures , a liberal , although he said in an interview last month that he would no more be a '' harlem chairman '' than representative nancy pelosi , democrat of california , would be a '' san_francisco speaker . ''	
will_rogers	oklahoma	/people/person/place_lived	-lrb- dave kehr -rrb- jubilo -lrb- tonight -rrb- will_rogers 's earliest surviving feature film (1919) , about a drifter who finds a home on an oklahoma ranch , gets a rare screening in a print preserved by the museum of modern art .	
asia	india	/location/location/contains	fears of overheating have been especially pronounced in india , where a growth rate of more than 8 percent has been accompanied by rising prices for some consumer goods , and equities are among the most expensive in asia .	
paris	france	/location/administrative_division/country	a phi beta kappa graduate of smith college and m.a. from columbia university ; she studied at the sorbonne in paris , france .	
turkey	bodrum	/location/location/contains	melek boz , who was the chef and owner of restaurants in istanbul and bodrum , turkey , will prepare special dishes from feb. 8 through 18 at pasha , 70 west 71st street : (212) 579-8751 .	
w._mark_felt	federal_bureau_of_investigation	/business/person/company	in 1981 , reagan granted clemency to two former high officials of the federal_bureau_of_investigation , w._mark_felt and edward miller .	
germany	berlin	/location/country/capital	he served in washington dc and germany , -lrb- berlin , frankfurt and bonn -rrb- , vienna , geneva , new york , moscow and brasilia .	x
france	paris	/location/country/capital	she learned the skill at 20 from watching a videotape of bill russell and the boston celtics with her teammates in paris at the french national institute for sports and physical education , known in france by its acronym , insep .	x
iran	natanz	/location/location/contains	in a short-notice inspection of iran 's main nuclear facility at natanz on sunday , conducted in advance of a report to the united nations security council due early next week , the inspectors found that iranian engineers were already using roughly 1,300 centrifuges and were producing fuel suitable for nuclear reactors , according to diplomats and nuclear experts here .	
peter_munk	barrick_gold	/business/person/company	peter_munk , founder and chairman of barrick_gold in toronto , has warned that an exodus of head offices to other countries will cause , among other things , lower levels of charitable donations and fewer opportunities for skilled workers .	
russian	russia	/people/ethnicity/geographic_distribution	russian officials have pointed out that this would mean two military missiles colliding over russia , and that the debris from any explosion could endanger russian people and property .	
franco_donatoni	italy	/people/person/nationality	he also won a fulbright fellowship for study in italy , where he worked with luciano berio , luigi dallapiccola and franco_donatoni .	x
russian	russia	/people/ethnicity/geographic_distribution	a8 russia lifts bear hunting ban for the first time in more than five decades , the russian government is preparing to allow hunters to kill polar bears , which are descending with greater regularity on coastal villages in parts of the far north as a result of shrinking sea ice generally attributed to a warming planet .	
syria	damascus	/location/location/contains	among them was noor 's father , a shiite who has since fled baghdad with the couple 's 4-year-old son for the relative safety of damascus , syria .	
israel	west_bank	/location/location/contains	ms. rice 's clear message to all palestinians -- those in the room and those outside it -- needs to be that if their new government is ready to stop all terrorist attacks against israel , ms. rice is ready to press israel to take matching steps , like halting all settlement construction and easing onerous restrictions on movements within the west_bank that have throttled economic development and stoked almost universal anger among ordinary palestinians .	
israel	east_jerusalem	/location/country/capital	there is even talk of pushing israel to negotiate with mr. abbas to create a palestinian state in provisional borders in much of the west bank and east_jerusalem , with gaza left for another time -- a way to use the road-map peace plan president bush endorsed .	x
gujarat	halol	/location/location/contains	mr. wagoner said g.m. would more than double its production capacity in india , to 225,000 vehicles a year , by making more vehicles at its halol factory in the state of gujarat and building a new plant in talegaon , maharashtra , both in western india .	
cape_girardeau	southeast_missouri_state_university	/location/location/contains	he went to southeast_missouri_state_university in cape_girardeau for about three years , majoring in marketing , before dropping out to join the marine corps reserve .	
oregon	portland	/location/location/contains	merrie remains in the hearts of her husband , richard h. clarke , of westport ; her brother , frank j. hevrdejs , of houston and pebble beach , california ; and her sister , patricia m. hevrdejs , of portland , oregon .	
stephen_harper	canada	/people/person/nationality	for as long as stephen_harper is prime minister of canada , i vow to send him every two weeks , mailed on a monday , a book that has been known to expand stillness . ''	
france	paris	/location/country/administrative_divisions	many y.b.a. 's , as young british artists were known in the 1990s , are now household names in france , while london 's share of the global art market last year was seven times larger than that of paris .	
israel	jerusalem	/location/country/capital	that is followed by a different re-enactment : in 1980 two boys exploring a building excavation site in the east talpiot , a jerusalem neighborhood built on land annexed by israel after the 1967 war , stumble on a crypt .	x
anna_politkovskaya	new_york_city	/people/person/place_of_birth	suspicions about mr. kadyrov and his subordinates have also figured in the investigation of the killing of anna_politkovskaya , a journalist shot to death in moscow in october , according to the committee to protect journalists , which is based in new_york_city , whose leaders met with russian officials in moscow in january .	x
picabo_street	idaho	/people/person/place_lived	she had just given up an overlapping career as a promising alpine racer at the same idaho mountains where the olympic medalists picabo_street and christin cooper had been groomed .	x
canada	toronto	/location/country/administrative_divisions	during her lifetime , miss shelton performed in recitals in new york city , in toronto , canada , and throughout florida .	
scott_g._mcnealy	sun_microsystems	/business/person/company	when jonathan i. schwartz was named chief executive of the struggling sun_microsystems last april , succeeding scott_g._mcnealy , there was a great deal of skepticism about whether he could bring the company back .	
middle_east	iran	/location/location/contains	in an interview on friday , before she left on her latest middle_east trip , secretary of state condoleezza rice described what she called an '' evolving '' strategy to confront '' destabilizing behavior '' by iran across the region .	
turkey	antalya	/location/location/contains	mr. sakka was arrested in 2005 in turkey while , according to the authorities , he was preparing a suicide attack on an israeli cruise ship that was to carry tourists to antalya , a turkish mediterranean port .	
juliette_binoche	paris	/people/person/place_of_birth	on paper mr. hou 's film sounds unfortunate at best : a tribute , set in paris and starring juliette_binoche , to albert lamorisse 's enchanting '' red balloon , '' which won the palme for shorts in 1956 and has since inspired generations of children to look toward the sky .	x
ehud_olmert	israel	/people/person/nationality	the arab states can reach out to the israeli center , and to olmert , '' referring to prime minister ehud_olmert of israel , who mr. makovsky pointed out is politically weakened right now within his country . ''	
tony_blair	united_kingdom	/people/person/nationality	prime minister tony_blair offered an indirect endorsement of gordon brown , the chancellor of the exchequer , as his successor , saying that '' in all probability , a scot will become prime minister of the united_kingdom . ''	
j._gordon_melton	santa_barbara	/people/person/place_lived	j._gordon_melton , the director of the institute for the study of american religion in santa_barbara , calif. , traces the origins of '' prosperity consciousness '' to 19th-century christian science . ''	x
arthur_d._collins_jr.	medtronic	/business/person/company	this year , he succeeded arthur_d._collins_jr. , chairman and chief executive of medtronic , as chairman of advamed , the world 's largest medical technology association .	
russian	russia	/people/ethnicity/geographic_distribution	feud leads to oil cutoff -- supplies of russian crude oil headed to european markets came to a halt overnight , in the latest manifestation of rapidly deteriorating relations between russia and belarus .	
new_york_city	washington_heights	/location/location/contains	most of them also grew up in new_york_city neighborhoods like hell 's kitchen , forest hills , washington_heights and kew gardens , whiling away countless hours playing the quintessentially urban street game that consumed city children long before high-pressured little leagues and other organized sports programs took over the suburbs .	
gujarat	vadodara	/location/location/contains	the tempest began on may 9 when a lawyer accompanied by police officers and television news crews marched into the art department at the respected maharaja sayajirao university , a state-run institution in vadodara , in western gujarat state .	
piedmont	italy	/location/administrative_division/country	it often serves as a stop for people on their way to ski resorts in the val d'aosta and is known , as is its region of piedmont , as one of the culinary gems of italy .	
derrick_m._kuzak	ford_motor_company	/business/person/company	we very much want to work with congress , '' said derrick_m._kuzak , group vice president for global product development at the ford_motor_company , echoing the official stance of the alliance of automobile manufacturers , an industry trade group .	
israel	west_bank	/location/location/contains	in the west_bank on friday , fatah supporters celebrated an anniversary by attending the weekly demonstration against israel 's separation barrier in the town of bilin , where the barrier cuts off the village from much of its farmland .	
italy	umbria	/location/country/administrative_divisions	the couple had already bought and restored one dream weekend home , casa fizie , a rectangular stone house on five acres between the towns of todi and orvieto in italy 's umbria region .	
thailand	bangkok	/location/country/capital	a1 thailand unsettled by bombings a string of lethal bombs that disrupted new year 's celebrations in bangkok has signaled the start of a difficult year for thailand as entrenched elites struggle for control of the country 's future .	x
turkey	ankara	/location/location/contains	prime minister recep tayyip erdogan said in sharp language on wednesday that turkey would move against kurdish militants in northern iraq if necessary , hours after the turkish authorities said they had identified the suicide bomber in an attack on tuesday in ankara as a man from a predominantly kurdish city .	
south_africa	cape_town	/location/location/contains	it relocates the tale 's doomed romantic triangle to khayelitsha , an industrial community near cape_town , south_africa ; sets the action in and around a cigarette factory ; and translates its libretto into xhosa , a regional language distinguished by its abundance of pops and clicks .	
ralph_de_la_vega	at&t	/business/person/company	this is the first of many products that are going to come out of the at&t - bellsouth merger , '' said ralph_de_la_vega , group president of regional wireline operations for at&t , of san antonio .	
turkey	ankara	/location/location/contains	ankara 's governor , kemal onal , identified the bomber as guven akkus , from the sivas district in southeastern turkey , a predominantly kurdish region , the anatolian news agency reported .	
gaza_strip	gaza	/location/country/capital	1 rebuilding just starting in gaza the israeli withdrawal from settlements in the gaza_strip in 2005 raised palestinian hopes for new homes , schools and businesses , but internal turmoil , the conflict with israel and a lack of money have kept the settlements looking as they were the day the israelis left .	x
lebron_james	cleveland	/people/person/place_lived	lebron_james hurled the ball with all his rippling strength high into the rafters , and the confetti -- like everything and everyone else here -- soon followed on cue in cleveland .	x
kuala_lumpur	malaysia	/location/administrative_division/country	rumblings were felt several hundred miles away in singapore and in kuala_lumpur , malaysia , prompting the evacuation of several office towers in those cities .	
craig_thomas	bethesda	/people/deceased_person/place_of_death	senator craig_thomas , a wyoming republican who combined a deep love of western rural life with a 23-year public career in his home state and washington , died monday evening in bethesda , md. .	
mexico	acapulco	/location/location/contains	he had tested positive for a banned substance three months earlier at a tournament in acapulco , mexico .	
israel	jerusalem	/location/location/contains	also on wednesday , reuters said that a nonbinding report by experts from the united nations educational , scientific and cultural organization called on israel to halt excavations near jerusalem 's most sacred islamic site and to proceed only under international supervision .	x
connecticut	putnam	/location/location/contains	ability beyond disability has offices in bethel and mount kisco , n.y. , and serves 700 to 1,000 people with disabilities like traumatic brain injuries , down syndrome and autism , in fairfield , hartford and litchfield counties in connecticut and in westchester , putnam and dutchess counties in new york .	x
hal_linden	new_york_city	/people/person/place_lived	barney miller , '' which ran from 1976 to 1982 , starred hal_linden as the captain of a new_york_city police precinct whose officers dealt with the zany characters who came , not always by choice , into the station house .	x
france	paris	/location/country/administrative_divisions	the panorama was patented in france by an american artist and inventor living in paris named robert fulton -lrb- known primarily for inventing the steamboat -rrb- .	
andré_boisclair	canada	/people/person/nationality	following a meeting in paris with andré_boisclair , head of canada 's pro-independence parti québécois , she spoke to canadian journalists of '' common values , namely the freedom and sovereignty of quebec , '' infuriating canada 's prime minister .	
sanford_i._weill	citigroup	/business/company_advisor/companies_advised	in 2006 , the annual meeting morphed into a three and a half hour celebration of sanford_i._weill , citigroup 's departing chairman .	
fidel_castro	cuba	/people/person/nationality	the campaign , to install efficient light bulbs free in millions of households , is the latest product of president hugo chávez 's enduring embrace of cuba and its revolutionary patriarch , fidel_castro .	
boston	jamaica_plain	/location/location/contains	they 're writing about jamaica_plain or dorchester or the boston music scene or windsurfing on massachusetts bay . ''	x
muhammad_ali	louisville	/people/person/place_of_birth	georgia powers , who was kentucky 's first black state senator and a champion of open-housing laws that enacted here in the 1960s , said louisville was finally ready to welcome muhammad_ali home . ''	
spain	catalonia	/location/location/contains	it is the capital of catalonia against the capital of spain , the catalans versus the castilians .	
middle_east	israel	/location/location/contains	ms. royal was also widely criticized during a trip to the middle_east in december in which she did not speak out when a hezbollah member of the lebanese parliament compared israel to nazi germany .	
middle_east	israel	/location/location/contains	as for problems in the middle_east itself , these speakers added , they have a common source , israel .	
kirk_fordice	mississippi	/people/person/place_lived	in 1992 , at a conference of republican governors , kirk_fordice of mississippi referred to america as a '' christian nation . ''	
campania	italy	/location/administrative_division/country	unlike other reborn regions , navarre lacks both industry leaders to set examples -- like the mastroberardinos of campania in southern italy and the palacios family of bierzo in spain -- and distinctive indigenous grapes to carve out identities .	
france	paris	/location/country/administrative_divisions	when i see france invaded by immigrants from everywhere , and we practically did nothing about it and it continues -- that 's why i 've always voted le pen even though i did n't share his most extreme opinions , '' said daniel baboz , a 75-year-old retired bailiff who voted in an upscale neighborhood of paris . ''	
paul_andreu	france	/people/person/nationality	these include french architects like the pritzker prize winner christian de portzamparc , who planned the zone 's masséna quarter ; paul_andreu , who mapped development on the avenue de france , one of the site 's main commercial axes ; and bruno fortier , who designed the rue du chevaleret , another major artery .	
california	san_onofre	/location/location/contains	endless winter for shorebirds and snowbirds reservations for california state campgrounds , including those at san_onofre , leo carrillo and carpinteria , can be made through reserve america -lrb- www.reserveamerica.com -rrb- or by calling (800) 444-7275 or (916) 638-5883 .	
israel	jerusalem	/location/location/contains	a senior bush administration official in jerusalem cautioned that it remained unclear early on monday whether saudi arabia would agree to a public meeting with israel . ''	
kentucky	louisville	/location/location/contains	but in fact , essjay is a 24-year-old named ryan jordan , who attended a number of colleges in kentucky and lives outside louisville .	x
spain	madrid	/location/country/capital	on the opening day of spain 's trial of 29 men accused in the deadly madrid train bombings , police officers ringed the maximum-security brick courtroom while a helicopter whirled overhead .	x
connecticut	westport	/location/location/contains	mother of raymond , of westport , connecticut , and kenneth , of islip , ny and grandmother of barry , benjamin , gordon and robert .	
vonage	jeffrey_a._citron	/business/company/major_shareholders	we are now five months into 2007 and , needless to say , it 's been a very challenging year , '' jeffrey_a._citron , vonage 's chairman and interim chief executive , said in a conference call with analysts . ''	
iowa	muscatine	/location/location/contains	ms. hakes , born in muscatine , iowa , was the dear daughter of the late mr. and mrs. clifford crampton hakes ; loving mother of barbara ; grandmother of benjamin ; beloved sister of mary anne gallagher and the late elizabeth h. harrer .	
canada	ontario	/location/country/administrative_divisions	pacella -- bernard l. , m.d. born on july 25 , 1912 , toronto , ontario , canada .	
middle_east	iran	/location/location/contains	a1 ahmadinejad to visit saudi king president mahmoud ahmadinejad of iran will visit saudi arabia for a landmark meeting with king abdullah intended to tackle the growing sectarian and political crises wracking the middle_east , iranian officials said .	
connecticut	farmington	/location/location/contains	born in philadelphia , pennsylvania on may 1st , 1918 , daughter of the late john and emma hallowell , she attended miss porters school in farmington , connecticut , where she and her husband theodore later lived for fifty years .	
tanzania	mount_kilimanjaro	/location/country/administrative_divisions	the radio reporting polk went to '' early signs : reports from a warming planet , '' a seven-month project in which 11 journalism students covered what they called the human miseries and ecological perils of global warming in diverse locales , including the slopes of mount_kilimanjaro in tanzania and the outskirts of auckland , new zealand .	
israel	east_jerusalem	/location/country/capital	security restrictions and the barrier that runs around and through parts of east_jerusalem were israel 's response to suicide bombings after 2000 , but they made it much more difficult for palestinians to move into and out of jerusalem .	x
fulton_county	atlanta	/location/us_county/county_seat	on the same program , andrew speaker 's father , ted , said that he , andrew and others met with fulton_county health officials in atlanta on may 10 , four days before andrew was planning to leave for europe .	
mexico	sinaloa	/location/country/administrative_divisions	mr. valdez , a former teacher in mexico who has been working on the island on and off for 20 years , has made far more than he did in his native mexican state of sinaloa , enough to pay for private school for his two children there . ''	
israel	west_bank	/location/location/contains	palestinian leaders condemned israel 's arrests in the west_bank .	x
russian	russia	/people/ethnicity/geographic_distribution	chevron , based in san ramon , calif. , declined to comment on the assertion by two russian officials -- including the chief executive of gazprom , russia 's natural gas monopoly -- that american companies were interested in participating in an auction of yukos 's assets .	
malaysia	kuala_lumpur	/location/country/administrative_divisions	-lrb- dargis -rrb- ` i do n't want to sleep alone ' -lrb- no rating , 115 minutes , in taiwanese , malay , mandarin and bengali -rrb- a dreamy , melancholy tale of three-way desire , shot in kuala_lumpur , malaysia , and imagined by the director tsai ming-liang with his usual blend of sensuality and formal rigor .	
mexico	coahuila	/location/location/contains	then , once mexico won independence from spain in 1821 , creating a republic based on the federal system of the united states , the texan region was joined with its stronger neighbor , coahuila , to form a single mexican state .	
netherlands_antilles	saba	/location/location/contains	in the 1980 's , tom va n't hof was instrumental in developing and managing the first three -lrb- of five -rrb- marine parks of the netherlands_antilles , including saba 's , and his work as a conservationist and marine biologist has influenced the character of the lodge that he runs in saba with his wife , heleen cornet , an artist .	
mitch_mcconnell	kentucky	/people/person/place_lived	mr. reid noted that senator mitch_mcconnell of kentucky , the republican leader , reached out to him on thursday morning , before the senate voted on the spending bill , to begin preliminary discussions of what to do next .	
israel	jerusalem	/location/location/contains	in another development on sunday , the american embassy said that the united states ambassador to israel , richard h. jones , was not scheduled to attend a special session of the israeli parliament on monday celebrating 40 years of the reunification of jerusalem .	
middle_east	syria	/location/location/contains	house speaker nancy pelosi arrived in syria on tuesday for a visit that is seen as part of an attempt to sway bush administration policy on iraq and the rest of the middle_east .	
anna_chakvetadze	russia	/people/person/place_lived	mauresmo ousted eighth-seeded anna_chakvetadze of russia , 7-6 (5) , 7-5 .	
joe_lovano	cleveland	/people/person/place_of_birth	one of his friends , the saxophonist joe_lovano -- who is 54 now -- spoke of how his father , the bop-era cleveland saxophonist tony lovano , adored the fairly far-out ornette coleman record '' new york is now ! ''	x
paris	france	/location/administrative_division/country	france has invited the new foreign minister , ziad abu amr , to paris , and british officials have said that they are considering dealings with ministers like mr. amr and finance minister salam fayyad .	
russian	russia	/people/ethnicity/geographic_distribution	boeing has pulled ahead of airbus elsewhere , but the europeans are seen as having an edge in russia because a russian government bank is a part owner of airbus 's parent company , the european aeronautic defense and space company . ''	
israel	jerusalem	/location/country/capital	israel says that there are issues -- in particular borders , refugees and the status of jerusalem -- that remain unclear and problematic .	x
mcalester	oklahoma_state_penitentiary	/location/location/contains	randolph f. dial , an artist and confessed hit man who fled a life sentence for murder to spend nearly 11 years on the run with a deputy warden 's wife , died wednesday in the infirmary of the oklahoma_state_penitentiary in mcalester .	
middle_east	israel	/location/location/contains	they talked tough about iran , with mr. obama calling iran '' a genuine threat '' to the united states and israel and forswearing '' a nuclear arms race in the middle_east . ''	
jeffrey_r._immelt	general_electric	/business/person/company	jeffrey_r._immelt , the chairman of general_electric , nbc 's parent company , said the tough times at the network actually worked in mr. zucker 's favor by letting him demonstrate both his tenacity and his ability to inspire those working under him .	
california	long_beach	/location/location/contains	the race , which winds 640 miles through the central valley of california and down the coast to long_beach , continues on monday with a 97-mile ride from sausalito to santa rosa .	x
citigroup	new_york_city	/business/company/place_founded	the targets in the united states included the new york stock exchange and the citigroup headquarters in new_york_city , along with the offices in washington of the international monetary fund and the world bank , according to prosecutors in a lengthy series of trials .	
paul_newman	westport	/people/deceased_person/place_of_death	ethan kostbar , the chef at rose water in park slope , brooklyn , is leaving in a few weeks to become the chef de cuisine at the dressing room , the restaurant in westport , conn. , owned in part by paul_newman .	x
delhi	india	/location/administrative_division/country	tarun anand , the co-founder and chief executive of the perfect future , a start-up near delhi , made his fortune in the united states , but returned to india to become an entrepreneur .	
california	san_francisco	/location/location/contains	kevin v. ryan , the united states attorney for the northern district of california , left his post in san_francisco on feb. 16 and was replaced by scott n. schools , a former general counsel at the justice department .	
minnesota	warroad	/location/location/contains	in minnesota hockey circles , eveleth and the town of warroad near the canadian border have long been considered the cradles of hockey .	
william_sims	boston	/people/deceased_person/place_of_death	the competition demonstrates '' nothing less than the digitalization of an entire major industry , replacing archaic mechanical illumination with smarter lighting , '' said william_sims , president of color kinetics inc. of boston , which has lighted the hollywood bowl , los angeles international airport and the broadway musical '' wicked . ''	x
russian	russia	/people/ethnicity/geographic_distribution	tensions within russia over international adoptions have intensified in recent years after several widely publicized cases of neglect , abuse and death of russian adoptees by american parents .	
josé_maría_aznar	spain	/people/person/nationality	on march 10 , 2004 , the departing prime minister , josé_maría_aznar of the popular party , boasted in an interview that spain had enjoyed eight years of '' spectacular economic growth '' under his leadership and that terrorism '' is a lot weaker than it was '' when he took office .	
canada	toronto	/location/location/contains	while the business shed its newspaper holdings to move into selling electronic information to professionals , the family still holds 40 percent of ctvglobemedia , which owns the globe and mail in toronto as well as ctv , canada 's largest private-sector television network .	
california	san_onofre	/location/location/contains	san_onofre is california 's fifth-most-popular state park , but a proposed six-lane toll road would cross near the campground .	
meredith_whitney	cibc_world_markets	/business/person/company	investors were unnerved by the announcement , in large part , because '' it was so vague , '' said meredith_whitney , an analyst with cibc_world_markets . ''	
kansas	wichita	/location/location/contains	today , wichita is the largest city in kansas .	
germany	berlin	/location/country/capital	american officials informed china of the meeting in berlin , and mr. hill is headed to beijing , as well as to seoul and tokyo , after he leaves germany .	x
syria	damascus	/location/location/contains	if we can make progress on the palestinian front before adding syria to the mix , it would both avoid overloading israel 's negotiating capacity and increase the incentives for damascus to negotiate seriously .	x
canada	kingston	/location/location/contains	the united states men 's under-17 national team , despite a 3-2 loss to jamaica on friday , clinched a berth in the fifa u-17 world cup when trinidad and tobago defeated canada , 2-1 , in an earlier game in kingston , jamaica .	x
italy	montappone	/location/location/contains	one of the dividends of a trip to an obscure place like montappone , italy -- an austere hill town in le marche and the center of italian hat production -- is how it can suddenly press your replay button .	
france	paris	/location/location/contains	after the fall of france in 1940 , the pro-nazi vichy regime seized the family bank , which had been moved from paris to the small southern town of la bourboule in the auvergne region .	
catalonia	spain	/location/administrative_division/country	well , let me tell you about the food : inopia -lrb- tamarit , 104 ; 34-93-424-52-31 -rrb- offers the classic stuff of spain -- especially , but not exclusively , catalonia .	
gian_carlo_menotti	italy	/people/person/nationality	gian_carlo_menotti was born on july 7 , 1911 , in cadegliano , italy , a small town near lake lugano in lombardy .	
françois_bayrou	france	/people/person/nationality	with the first round of france 's presidential election only 54 days away , the two leading candidates are grappling with the stunning rise in the polls of françois_bayrou , the head of the centrist union for french democracy party and a former education minister who has been nicknamed '' the third man '' by the french media .	
australia	brisbane	/location/location/contains	when he was 15 , he moved with his family to brisbane , australia , where he formed a band , the chelsea set , playing r&b and motown .	
israel	west_bank	/location/location/contains	and while some say that hatred of israel is caused by israel 's occupation of the golan heights and west_bank , and the conflict in lebanon , '' she says , '' others note that overt calls by arab leaders for the destruction of the entire jewish state were commonplace even before the occupation which began in 1967 . '' ''	x
berlin	germany	/location/administrative_division/country	the company , karstadtquelle , will pay 88 million euros -lrb- $ 117 million -rrb- , to the conference on jewish material claims against germany , a new york-based group that filed suit on behalf of the wertheim family , which founded the elegant berlin emporium that still bears its name .	
aileen_wuornos	florida	/people/person/place_lived	charlize theron packed on 30 pounds and wore gnarly false teeth to become aileen_wuornos , the florida prostitute turned serial killer who was put to death via lethal injection in 2002 for murdering six men .	x
bruce_pearl	iowa	/people/person/place_lived	when there are openings popping like this , you never know what to expect , '' said hamilton , whose men 's basketball coach , bruce_pearl , was a candidate for the opening at iowa , which hired butler coach todd lickliter on tuesday . ''	x
lebanon	beirut	/location/location/contains	he said that the last time ms. samaha was in lebanon visiting extended family , she got trapped in northern beirut by the war that broke out last summer and was among the american-lebanese civilians who had to be evacuated by an american warship . ''	
wisconsin	madison	/location/location/contains	the proposal has its critics , many of whom call it nothing less than modern-day prohibition , and an assault on personal freedom and the free market that flies in the face of madison 's traditional liberalism and wisconsin 's entrenched drinking culture .	x
nate_robinson	seattle	/people/person/place_of_birth	watching the game on television , with conflicting emotions , was nate_robinson , the knicks guard and seattle native .	
john_logsdon	george_washington_university	/business/person/company	john_logsdon , director of the space policy institute at george_washington_university , said nasa now deals with safety issues far more thoroughly than it did before the columbia disaster .	
puebla	mexico	/location/administrative_division/country	celebrating its 75th-anniversary season , the royal ballet of britain will tour mexico for the first time in 30 years , visiting mexico city , guadalajara and puebla from june 14 to 30 with kenneth macmillan 's '' romeo and juliet , '' ninette de valois 's '' coppélia '' and a mixed program .	
middle_east	israel	/location/location/contains	a '' west bank first '' strategy would mean leaning on the israeli government to dismantle settlements , ease up on travel restrictions for palestinians moving around the west bank , and release a substantial number of palestinian prisoners being held by israel , middle_east experts said .	
ukraine	kiev	/location/country/administrative_divisions	taras kuzio , a political science professor at george washington university and a ukraine specialist , said mr. yushchenko controlled the variables that mattered in ukraine 's young political system -- the army , the security service and popular support in the capital , kiev . ''	
ehud_olmert	israel	/people/person/nationality	prime minister ehud_olmert of israel has said the work will continue , even after his rival and defense minister , amir peretz , simultaneously gave him and israeli newspapers a letter warning him to stop the work to avoid security problems .	
france	paris	/location/country/administrative_divisions	if he had stayed in paris and hugged a few prize bulls , france would probably still be a monarchy .	
middle_east	lebanon	/location/location/contains	even so , he said , the bush administration , running out of options in the middle_east , '' may be looking for another lever to pull in iraq , lebanon and the peace process . ''	
middle_east	iran	/location/location/contains	the foray into iran was the work of mr. de margerie , who was in charge of total 's business in the middle_east in the 1990s .	
romania	bucharest	/location/country/administrative_divisions	eugen joseph weber was born in bucharest , romania , on april 24 , 1925 , the son of sonia and emmanuel weber , an industrialist .	
erich_ludendorff	germany	/people/person/nationality	correction : march 4 , 2007 , sunday an article on feb. 11 about the world war i stage drama '' journey 's end , '' set on the eve of germany 's spring offensive , misidentified the rank of erich_ludendorff , who led the campaign .	
charlottesville	university_of_virginia	/location/location/contains	the rev. alane cameron miles , a unitarian-universalist minister , officiated at pavilion vii on the university_of_virginia campus in charlottesville .	
california	sacramento	/location/location/contains	he is survived by his wife , gloria ; a daughter , oriana , and a son , pascal , both of concord , calif. ; and three sisters , also of california : beth jacobs of san leandro , beverly lagiss of livermore and lynn robie of sacramento .	
switzerland	davos	/location/location/contains	at last month 's world economic forum in davos , switzerland , mr. tillerson said during one of the 17 -lrb- that 's right : 17 -rrb- panels on global warming : '' it is clear that something is going on .	
